#separator:tab
#html:false
Ich bin begeistert auf etwas	I am keen on sth.
I am keen on sth.	Ich bin begeistert auf etwas
bereitwillig/gespannt auf etwas	to be eager on sth.
to be eager on sth.	bereitwillig/gespannt auf etwas
weich	mellow
mellow	weich
seicht	shallow
shallow	seicht
quariert	quartered
quartered	quariert
Rucola	arugula
arugula	Rucola
Türspion	door viewer
door viewer	Türspion
Samt	velvet
velvet	Samt
abgestanden	stale/flat
stale/flat	abgestanden
epiphany	Offenbarung
Offenbarung	epiphany
jmd verunsichern	to unsettle someone
to unsettle someone	jmd verunsichern
Christi Himmelfahrt	ascension day
ascension day	Christi Himmelfahrt
unvermeidlich	inevitable
inevitable	unvermeidlich
ample	reichlich/genügend
reichlich/genügend	ample
to compliment each other	sich gegenseitig ergänzen
sich gegenseitig ergänzen	to compliment each other
stark zusammenhängen	closely related
closely related	stark zusammenhängen
verflochten	interwined
interwined	verflochten
dignity	die Würde
die Würde	dignity
prevalent	weit verbreitet
weit verbreitet	prevalent
egibility	Berechtigung
Berechtigung	egibility
incur	eingehen
eingehen	incur
endowed	ausgestattet
ausgestattet	endowed
Proficiency	Kompetenz
